time,speaker_gt,f0,centroid,tilt,rms
6.975,owner,130.0,710.7194867188133,-9.87691109439517,-33.029859437966884
7.175,owner,121.6,631.2288281782076,-10.492158733943603,-33.03584510675793
7.375,owner,115.9,586.8669533804706,-10.985963809331299,-32.8914022433317
7.575,owner,114.6,539.3612951622025,-11.85781641183183,-33.476236659310004
7.775,owner,114.5,480.94670551291085,-12.847370186733619,-33.65392209744618
9.175,owner,157.7,795.2517114016762,-9.064512993907409,-29.609064292549853
9.375,owner,160.0,837.291993737585,-9.578603994628605,-29.203593922667412
9.575,owner,158.6,977.7913799991519,-9.418624798119579,-28.134014955116754
9.775,owner,180.7,1319.1299548546729,-6.861747612279686,-26.7337299280805
9.975,wife,379.4,1739.9389978138763,-4.001560194482447,-24.413475928891106
10.175,wife,416.2,2128.723446873572,-0.490581190962159,-22.542490432731945
10.375,wife,429.3,2277.8604907028744,0.5071159906568397,-23.673912751979913
10.575,wife,430.8,2120.7963640275952,-0.830424450836416,-26.029572333403035
10.775,wife,373.6,1854.1576514075914,-3.3868588759275036,-27.13212749313895
10.975,wife,220.5,1652.6549769328374,-5.408613023315868,-28.495642075133702
11.175,wife,227.0,1600.071671024232,-5.9854018210620215,-27.251398149025597
11.375,wife,231.3,1662.3710155105298,-5.871065213854637,-23.882070608266122
11.575,wife,423.8,1927.9769431883947,-3.8807340133271655,-23.255885190333693
11.775,wife,433.3,2023.8491828642068,-3.585249873747545,-24.171952799545995
11.975,wife,429.3,2179.869014436102,-2.498526045578167,-24.156877814164712
12.175,wife,429.3,2200.7877222237457,-1.8497066831989748,-26.848852050246805
12.375,wife,402.6,2116.616809130764,-1.9721857533394636,-27.88945877949741
12.575,wife,382.7,2068.8829960444577,-1.220497681517867,-25.89663594285256
12.775,wife,361.7,1875.1243874952197,-1.6161352802854383,-24.029109455188305
12.975,wife,329.2,1598.4829363372176,-3.5344577143987217,-25.07400022469618
13.175,owner,290.1,1442.207982007523,-4.519288888558869,-26.301715865890735
13.375,owner,181.1,1271.5263748122984,-5.701156997250323,-27.800125852364197
13.575,owner,173.7,1313.298928756156,-5.460126138970394,-28.96315193737795
13.775,owner,176.2,1440.2563036790593,-4.849470805742817,-27.626113946542887
13.975,owner,166.8,1316.8236062160029,-4.782684888090338,-27.742363108501372
14.175,owner,87.6,1535.657116214656,-4.457307542601477,-29.835046992959526
14.375,owner,141.7,1434.2006193309255,-4.310594242759038,-31.856248069179305
14.575,owner,141.1,1200.9588683297134,-5.69236296450473,-29.98946420732193
14.775,owner,138.4,1011.4912298697292,-6.615957192350311,-29.8223900962631
14.975,owner,132.3,804.7878955274042,-8.05973601382499,-29.204505557860898
15.175,owner,132.3,688.631232991054,-10.688144962070186,-27.86793917528556
15.375,owner,132.2,783.2992394461535,-10.210980045674628,-29.24063515943862
15.575,owner,121.9,765.1687162300605,-9.957221895863269,-29.327655691671467
15.775,owner,127.9,852.228226101748,-9.721747443411378,-29.107728634150302
15.975,owner,122.9,965.7263328946755,-8.135088989195308,-31.121040754709142
16.175,owner,127.2,1014.9421051452128,-8.445745344014513,-30.17879701680046
16.375,owner,131.6,967.3022898691328,-9.32951169439594,-28.82164307099886
