time,speaker_gt,f0,centroid,tilt,rms
16.375,Speaker A,84.5,407.999357523914,-13.082307987702283,-26.385824973368642
16.575,Speaker A,102.1,637.3051956326939,-12.020502430088218,-22.756147308902854
16.775,Speaker A,101.2,887.6544268731348,-11.11128525848371,-19.710011613776
16.975,Speaker A,97.5,1225.950140023925,-10.375426095979849,-19.816742595126907
17.175,Speaker A,99.1,1129.7333205732848,-11.105511742380887,-18.898855560443906
17.375,Speaker A,98.4,1003.0017359342502,-11.07736049647115,-20.26619097166547
17.575,Speaker A,98.4,958.184332517141,-12.43888673411598,-18.85711644896738
17.775,Speaker A,97.0,832.6627088060582,-12.924747270621571,-19.155963578475014
17.975,Speaker A,94.8,831.3372709129662,-12.907968577950239,-19.803609913637466
18.175,Speaker A,92.3,1170.191945602438,-11.617326912688661,-20.725352268705027
18.375,Speaker A,90.6,1778.043202248675,-8.265351880735368,-24.14834664471108
18.575,Speaker A,87.4,1765.8666753852817,-7.466140549738933,-24.86362048184905
18.775,Speaker A,82.6,1777.5488502834132,-7.236210472232721,-27.7619144319336
18.975,Speaker A,81.0,1956.1875343974245,-6.635330203453021,-29.726640118429025
19.175,Speaker A,79.9,2215.6299714434394,-5.917717941774092,-31.627902050572718
19.375,Speaker A,75.7,2431.5106994432062,-6.531308882102295,-35.29015944554636
19.575,Speaker A,166.7,3064.505536298835,-3.5764666744671656,-37.37812371293639
19.775,Speaker B,169.2,1146.5365648396184,-7.340595941706676,-20.103317758452178
19.975,Speaker B,170.0,1182.5987742368584,-6.641239422099382,-22.226271676351857
20.175,Speaker B,170.0,1182.5987742368584,-6.641239422099382,-22.226271676351857
20.375,Speaker B,157.5,2689.5341913265383,-3.7844577218585993,-23.57419264321345
20.575,Speaker B,232.3,3448.136137323192,-2.570662853602529,-26.018207729329525
20.775,Speaker B,210.0,2709.789035441849,-4.414002668801318,-21.83611813440884
20.975,Speaker B,159.0,2146.408643414523,-5.728160928926211,-22.85542184142279
21.175,Speaker B,158.8,1101.8353796089852,-7.164322194707961,-22.621954937682624
21.375,Speaker B,142.4,920.1418709447968,-8.066721411903956,-23.99121972273061
21.975,Speaker B,191.2,2145.7177884405273,-6.810650492380092,-23.968196561708993
22.175,Speaker B,204.4,1676.672595588046,-8.82061891653937,-22.52983087704426
22.375,Speaker B,206.2,1663.8581495731735,-8.532025942345308,-22.130437074826283
22.575,Speaker B,217.6,1070.359867322561,-9.618945558838266,-20.92829217262535
22.775,Speaker B,216.9,1074.0767416637598,-8.987598563944342,-21.37420370234568
22.975,Speaker B,207.9,1441.522733883602,-7.887134541549408,-21.021571421938887
23.175,Speaker B,212.4,1706.1435299146924,-7.246292530220684,-22.698012979720016
23.375,Speaker B,194.3,1877.9961040030835,-7.012210224858141,-24.175297481158577
23.575,Speaker B,196.8,1872.7295246636022,-7.068341448825223,-23.672362508507902
23.775,Speaker B,197.7,2160.9074445442193,-6.089805624334957,-24.05503592781806
23.975,Speaker B,197.7,1984.3013989973836,-6.743627841975552,-23.95981087263157
24.175,Speaker B,184.8,2405.605951095883,-6.361746987145622,-28.91068487954918
24.375,Speaker B,153.3,2478.2331713726066,-6.375585347382686,-30.764476855102615
24.975,Speaker A,101.5,790.5258956398484,-8.802628719183819,-22.96034242741723
25.175,Speaker A,88.9,946.301714718686,-8.375197178906134,-24.324567544014993
25.375,Speaker A,99.0,1024.6976033636752,-8.4902836359427,-23.572079347182346
25.575,Speaker A,98.8,1300.488017676946,-7.650463488983294,-24.098311462041124
25.775,Speaker A,99.0,1243.1721154636828,-8.541570064005345,-24.37154434517231
25.975,Speaker A,99.2,1294.4893739625734,-8.350484719544548,-24.056043943284354
26.175,Speaker A,99.3,1335.395271178225,-7.74849764985709,-26.15415615760488
26.375,Speaker A,99.1,2085.7609429735353,-5.989095264111903,-27.79348810036157
26.575,Speaker A,98.8,2421.98834910955,-4.539167832328441,-30.877073707131693
26.775,Speaker A,81.1,2851.325384226831,-4.658066174797687,-31.277318284010093
26.975,Speaker A,98.0,2656.79002794783,-6.230869275906685,-24.896347548193436
27.175,Speaker A,94.3,1497.477666740698,-10.479311969740255,-21.749188298413028
27.375,Speaker A,92.5,1367.3892327160113,-11.877641093508734,-20.50480183998246
27.575,Speaker A,92.1,536.1142930794159,-14.4812081429874,-19.484660851347094
27.775,Speaker A,90.7,1082.2913110356305,-13.14031175926509,-20.637882245885713
27.975,Speaker A,89.0,1300.4357887808608,-11.366111005916878,-22.673520200511042
